TSCode	TripCode	LineCode	RecordedTime	Longitude	Latitude	Count
A003		54	2021-09-20T17:30:21	71.44748	51.0927162	8
A003	1281427	54	2021-09-20T17:30:47	71.44686	51.0928574	8
A003	1281427	54	2021-09-20T17:31:45	71.44336	51.09328	8
A003	1281427	54	2021-09-20T17:31:45	71.44336	51.09328	8
A003	1281427	54	2021-09-20T17:31:45	71.44336	51.09328	8
A003	1281427	54	2021-09-20T17:31:45	71.44336	51.09328	8
A003	1281427	54	2021-09-20T17:31:45	71.44336	51.09328	8
A003	1281427	54	2021-09-20T17:31:45	71.44336	51.09328	4
A003	1281427	54	2021-09-20T17:31:45	71.44336	51.09328	4
A003	1281427	54	2021-09-20T17:39:26	71.4308548	51.105854	4
A003	1281427	54	2021-09-20T17:39:56	71.4308548	51.105854	4
A003	1281427	54	2021-09-20T17:39:56	71.4308548	51.105854	4
A003	1281427	54	2021-09-20T17:42:34	71.43155	51.10782	4
A003	1281427	54	2021-09-20T17:43:02	71.43238	51.1097031	4
A003	1281427	54	2021-09-20T17:44:44	71.43246	51.11014	4
A003	1281427	54	2021-09-20T17:45:09	71.43241	51.11023	4
A003	1281427	54	2021-09-20T17:46:18	71.43278	51.1116524	4
A003	1281427	54	2021-09-20T17:47:18	71.43292	51.1119843	4
A003	1281427	54	2021-09-20T17:48:24	71.43307	51.11238	4
A003	1281427	54	2021-09-20T17:49:25	71.43307	51.11238	4
A003	1281427	54	2021-09-20T17:50:27	71.43311	51.11259	4
A003	1281427	54	2021-09-20T17:51:27	71.4306946	51.11345	4
A003	1281427	54	2021-09-20T17:51:58	71.42838	51.1138	4
A003	1281427	54	2021-09-20T17:53:30	71.42793	51.11648	4
A003	1281427	54	2021-09-20T17:53:59	71.428215	51.1173172	4
A003	1281427	54	2021-09-20T17:54:30	71.428215	51.1173172	4
A003	1281427	54	2021-09-20T17:56:49	71.42888	51.1190262	4
A003	1281427	54	2021-09-20T17:57:35	71.4291458	51.1197281	4
A003	1281427	54	2021-09-20T17:58:06	71.42925	51.1199455	3
A003	1281427	54	2021-09-20T17:59:11	71.42973	51.121006	3
